Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
01,1.45,1.14,0.64,0.27,0.14,0.01,0.14,0.14,0.01,0.27,0.02,0.01,0.27,0.02,0.02,0.26,0.02,0.14,0.13,0.02,0.14,0.01,0.27,0.02,0.02,0.26,0.02,0.02,0.26,0.02,0.14,0.14,0.01,0.14,0.14,0.02,0.13,0.14,26.64,115.89,129.89,238.2,144.27,47.89,195.95,207.4,205.45,78.02,270.83,238.08,255.7,149.27,260.89,200.64,125.7,214.02,108.27,86.95,45.76,214.14,128.82,310.55,254.09,225.52,140.77,10.58,1.33,1.45,1.45,1.25,0.63,0.01,0.26,0,0.14,0.14,57.76,305.17,301.32,311.45,323.38,297.52,297.17,255.71,237.44,137.39,177.28,158.87,230.34,323.55,199.64,8.58,35.52,4.52,1.33,0.58
02,0.14,0.14,0.01,0.14,0.14,0.01,0.13,0.14,0.14,0.02,0.13,0.14,0.01,0.14,0.14,0.01,0.14,0.14,0.01,0.26,0.01,0.01,0.27,0.01,0.01,0.26,0.01,0,0.26,0.01,0.13,0.13,0.01,0.13,0.13,0,0.14,0.13,31.38,112.88,139.58,180.64,197.2,86.02,255.95,162.77,144.14,124.89,275.95,173.02,236.77,196.96,260.45,192.95,195.77,144.7,160.33,87.96,103.58,183.2,115.08,265.07,265.34,193.39,130.02,61.33,1.33,1.45,1.33,0.89,0.64,0.39,0.13,0.02,0.14,0.14,86.26,289.95,328.84,309.24,314.12,263.19,273.75,272.85,238.23,264.45,184.68,130.83,249.77,267.77,141.08,24.83,2.51,1.45,1.02,0.39
03,0.27,0.01,0.02,0.27,0.01,0.02,0.27,0.01,0.13,0.14,0.02,0.13,0.14,0.02,0.14,0.13,0.14,0.02,0.13,0.14,0.02,0.26,0.02,0.02,0.27,0.01,0.02,0.27,0.01,0.14,0.14,0.01,0.14,0.14,0.02,0.13,0.14,0.14,46.39,90.01,155.27,172.01,163.64,53.4,239.52,217.52,175.45,201.14,255.95,252.7,132.84,109.89,245.08,241.2,197.14,110.95,192.08,48.08,102.9,198.33,248.33,224.08,253.64,207.27,186.59,112.7,1.33,1.45,1.32,1.26,1.26,0.39,0.01,0.26,0.01,0.01,77.89,290.01,297.38,297.85,303.52,216.73,311.29,269.65,224.86,244.54,194.66,125.15,249.71,323.6,239.38,56.21,4.64,1.45,1.33,0.77
04,0.01,0.27,0.02,0.01,0.27,0.02,0.02,0.26,0.02,0.14,0.13,0.02,0.14,0.13,0.02,0.14,0.14,0.13,0.02,0.14,0.13,0.02,0.14,0.13,0.02,0.14,0.14,0.01,0.27,0.02,0.01,0.27,0.02,0.02,0.26,0.02,0.02,0.27,0.01,0.14,0.14,0.02,0.13,213.39,185.95,52.65,46.45,103.71,123.7,149.83,69.77,75.83,139.7,128.7,240.65,131.64,125.7,1.45,1.19,1,0.63,0.63,0,0,0.25,0.01,0.12,0.13,0,0.12,0.13,0,0.13,0.12,37,198.32,235.66,293.98,212.54,211.86,236.22,221.91,175.32,85.34,74.02,10.01,1,0.63,0.64,0.38,0.14,0.14,0.01,0.13,0.14,0.01
05,0.26,0.01,0.01,0.26,0.01,0.01,0.26,0.01,0.14,0.14,0,0.14,0.14,0.13,0.01,0.14,0.13,0.01,0.14,0.13,0.01,0.26,0,0.01,0.26,0.01,0,0.26,0.01,0.13,0.14,0.01,0.13,0.14,0.14,0.01,0,0.26,0.01,0,0.26,0,0.13,0.12,0.01,0.13,0.12,0.01,0.13,0.13,0.12,0.01,0.13,0.13,0,0.26,0.01,0.01,0.25,0.01,0.01,0.26,0,0.13,0.13,0.01,0.13,0.13,0.01,0.12,0.01,0.26,0.01,0,0.26,0.01,0.13,0.13,0.01,0.13,0.13,0.01,0.13,0.13,0.13,0.01,0.13,0.12,0.01,0.13,0.13,0.01,0.26,0.01,0,0.26
06,0.01,0.14,0.13,0.01,0.14,0.13,0.01,0.14,0.14,0.13,0.01,0.14,0.13,0,0.26,0.01,0,0.13,0.13,0,0.13,0.13,0.13,0,0.13,0.13,0.01,0.13,0.14,0.01,0.26,0,0.01,0.26,0,0.13,0.13,0.01,0.12,0.13,0.01,0.13,0.12,0.13,0.01,0.13,0.12,0.01,0.01,0.25,0.01,0.13,0.13,0,0.14,0.14,0.01,0.12,0.13,0.13,0.01,0.12,0.13,0.01,0.13,0.12,0,0.26,0.01,0,0.26,0.01,0.12,0.13,0.01,0.13,0.13,0.01,0.13,0.01,0.25,0.01,0.01,0.25,0.01,0.01,0.26,0,0.14,0.14,0,0.13,0.13,0.13,0,0.14
07,0.14,0.01,0.14,0.14,0.01,0.26,0.01,0.01,0.25,0.01,0.14,0.14,0,0.14,0.14,0,0.14,0.14,0.13,0.01,0.14,0.14,0.01,0.26,0.01,0,0.14,0.13,0.01,0.13,0.13,0.14,0.01,0.13,0.13,0.01,0.13,0.13,0.26,162.64,158.02,170.65,188.39,128.27,180.39,223.02,57.01,74.76,252.2,254.59,220.33,38.45,214.39,165.02,35.27,130.45,156.64,122.64,101.88,177.15,176.01,219.45,227.64,163.83,20.02,1.27,0.89,0.26,0.02,0.27,0.02,0.13,0.14,0.02,0.13,0.14,0.02,255.96,301.55,321.61,200.71,287.37,267.53,103.6,83.26,149.3,132.76,33.19,133.27,161.89,204.4,96.58,14.58,1.13,0.14,0.27
08,0.02,0.01,0.27,0.02,0.13,0.14,0.02,0.13,0.14,0.14,0.02,0.13,0.14,0.02,0.13,0.14,0.02,0.26,0.02,0.02,0.26,0.02,0.14,0.14,0.01,0.14,0.14,0.01,0.14,0.14,0.14,0.01,0.14,0.14,0.02,0.13,0.14,0.02,40.02,97.64,147.02,199.08,77.58,84.45,219.51,192.26,134.75,84.82,222.08,235.45,172.64,158.08,198.09,143.39,140.58,170.14,142.33,62.14,129.83,186.77,122.58,215.4,245.14,193.52,55.58,1.95,1.2,1.45,1.31,0.5,0.13,0.01,0.12,0.13,0,0.25,69.01,233.66,238.93,266.67,242.22,258.98,275.06,232.67,299.18,245.16,183.76,55.15,254.52,227.83,193.7,198.77,106.27,16.2,1.38,1.45
09,0.64,0.14,0.38,0.14,0.27,0.01,0.02,0.27,0.02,0.13,0.14,0.02,0.13,0.14,0.14,0.01,0.14,0.14,0.02,0.13,0.14,0.02,0.26,0.02,0.02,0.26,0.02,0.14,0.02,0.13,0.14,0.02,0.13,0.14,0.02,0.27,0.01,0.02,16.14,147.02,90.39,214.52,155.39,114.02,230.9,178.64,175.89,125.33,253.33,213.2,213.39,153.27,194.27,212.33,176.02,169.58,119.39,94.27,132.89,201.9,180.83,270.02,252.08,79.52,135.7,30.14,1.27,1.27,0.77,0.51,0.14,0.02,0.14,0.13,0.02,0.27,98.27,259.36,246.12,328.51,297.53,262.41,237.89,300.3,180.95,295.45,236.41,140.34,207.48,244.95,146.9,51.02,19.88,2.7,1.33,0.89
10,0.13,0.14,0.14,0.02,0.13,0.14,0.02,0.26,0.02,0.02,0.26,0.02,0.02,0.26,0.02,0.14,0.13,0.02,0.14,0.14,0.01,0.14,0.14,0.01,0.14,0.14,0.13,0.14,0.02,0.13,0.14,0.02,0.13,0.14,0.14,0.01,0.14,0.14,0.02,0.13,0.14,0.02,0.14,0.13,0.02,0.27,0.01,0.02,0.27,0.02,0.01,0.27,70.64,50.02,2.02,0.14,0.13,0.14,0.14,0.02,0.13,0.14,0.02,0.14,0.13,0.02,0.14,0.13,0.02,0.27,0.02,0.01,0.27,0.02,0.02,0.26,0.02,0.14,0.13,0.02,0.14,0.14,0.01,0.14,0.14,0.13,0.02,0.14,0.14,0.01,0.14,0.14,0.01,0.14,0.14,0.02
