Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
01,71.5,74,72.5,74.5,72.5,73.5,75,74.5,72.5,77,76.5,75,73.5,74.5,74.5,74.5,73.5,75.5,74,79,84,83,84.5,89,121.5,121.5,110,171.5,219,216.5,313.5,372,470.5,493,486.5,488.5,477,475,489,460.5,436.5,468,520.5,512,510,478.5,513,510.5,467,474.5,556.5,507,482.5,527.5,540.5,546.5,502,474,546,508.5,495,518,501,513,244,171.5,188.5,190,158.5,186.5,138.5,103.5,105,105,106,109.5,149,188,212,190,186,211.5,199,184,143.5,147,165.5,175,166.5,144.5,117.5,91,91.5,91.5,76,75
02,72,72,67,74,72,68,89.5,110,88.5,68,64,68.5,68,66.5,68.5,70,70,69,70.5,74.5,78.5,75,78,78.5,101.5,106.5,112,115.5,180,202,319,365,430.5,433.5,424.5,418.5,390,386,403.5,435.5,347,427,502,458,390.5,453,477,471.5,400,427.5,481.5,501,425.5,534.5,592.5,597,531.5,480.5,524,517,499.5,462.5,443,436,371,237.5,228.5,230.5,224,239,278.5,231.5,181.5,164,162.5,161,221.5,240.5,242.5,227.5,225,197,201,192,198,168.5,182,174.5,112,89.5,79.5,78.5,76.5,76,76.5,74
03,72,71,69.5,72.5,68,74,70.5,70.5,71.5,70.5,71.5,71,72,71,72,72,72,72.5,73,75.5,75.5,74.5,78.5,79.5,87.5,93.5,90.5,85,77.5,84.5,84,95.5,85,74,77.5,69.5,132.5,223.5,214,220,226,225.5,221,243,313.5,266,195,209.5,239,233.5,229,231,186.5,232.5,295.5,343.5,295,216,194,168,157,144,130.5,97,101.5,85.5,86,92.5,103,124.5,126.5,132.5,129,130.5,133,141,233,233.5,248,231,241.5,161.5,150,140.5,95.5,88,88.5,112.5,92.5,92.5,90,91.5,82,76.5,73.5,74
04,72.5,71.5,71.5,72,70,69,68.5,68,68.5,68.5,65.5,71.5,68,68.5,67.5,68,69,69,67.5,70,71,70,68.5,67,73.5,77.5,74.5,68.5,68,55.5,50.5,40.72,23.22,28.73,15.94,25.39,18.32,-21.53,-1.95,-15.91,2.71,-11,-26.75,-38.17,-19.29,10.71,36.95,41.72,37.98,21.48,45.4,26.29,46,32.13,33.68,35.09,10.93,73.04,17.29,29.78,97.18,122.5,115.5,124.5,120.5,116.5,133,85,112.5,132.5,134.5,141.5,136,142.5,139.5,141.5,152.5,141,136,106.5,93,92.5,91,83.5,78.5,77,71,81,80,78.5,79.5,76.5,103.5,185,169,139.5
05,130.5,97.5,78.5,75,74.5,76.5,76.5,75.5,76,73.5,72.5,74,71,75.5,73.5,73.5,74.5,72.5,74,74,77.5,79,82.5,84.5,109.5,116.5,110,116,209,223.5,355,386,517,494,435.5,554,460,453.5,448.5,423.5,423.5,459.5,517,550.5,472.5,465,448.5,519,511,534,505.5,439,508.5,495.5,542.5,453.5,495,512,556,569,615,547.5,573.5,586.5,398.5,368,429,386,347.5,344,347.5,321.5,288,314.5,320.5,308,286.5,368.5,423.5,423,347.5,262,246.5,275,239,169.5,167.5,204,151,210,186.5,115.5,78.5,77,76.5,72.5
06,73,72,72.5,72,69,69.5,69,68,68.5,66,70.5,66,71,68.5,68.5,67.5,69.5,75,71,72,73.5,79,79,80.5,109,109.5,105,107,223,226,334.5,395.5,468.5,536,510,490.5,473.5,454.5,471,452,466,510,538.5,484.5,483,496,518,500.5,524,542,558.5,545,482,528.5,517,535.5,503,535,509.5,628,607.5,651,599.5,628.5,561.5,420.5,383.5,364.5,333,346,334.5,306,347,353.5,363,349,302,429,425.5,405.5,323.5,285,232.5,247,187,206,204,155.5,160.5,140.5,166.5,153,91.5,85.5,118.5,116
07,77,76.5,73,74,70,73,73.5,74.5,71.5,77,73.5,74,73,74,72.5,70.5,75.5,73,73.5,76,80.5,78.5,83,84,101,116.5,109.5,109,182,197,297,335,381,431,465.5,466.5,470,488,505,438.5,432.5,488,528.5,539.5,567,523.5,501.5,549.5,549,494.5,526,508.5,462,535,629,657,598,494,565.5,579.5,539,546,517.5,628,372.5,369.5,371,352,293.5,312,315.5,303.5,283,284,350,311,275,357.5,403.5,405,327.5,328.5,331.5,318,219.5,225.5,157.5,176,166,152,176,169,138,92,83.5,81
08,76.5,77,76,72.5,77.5,73.5,73.5,74,73.5,74,73,73.5,74,74.5,73,74,72.5,71.5,67,66.5,74.5,70,74,80.5,103.5,100,102,102.5,146.5,228.5,266.5,319.5,492,469,440,473,426,448.5,382,389.5,446,535.5,568.5,551,544,505.5,586,538.5,482,649.5,570.5,612.5,599.5,600,667.5,646.5,639,582.5,588.5,602,661.5,632.5,661.5,665.5,447,396,385.5,344.5,308,387,344.5,317,280.5,293,271.5,246.5,235,368.5,388.5,345.5,342,320.5,238,217.5,244.5,211,223,186,201,192.5,149.5,127.5,156,130.5,95,83.5
09,84,80,76.5,77,78,75,85.5,82.5,81,82,81,81,80.5,74.5,85,80.5,80,79.5,72.5,74,85,80,78.5,92.5,101.5,125,115.5,109.5,182,208.5,295.5,330,458,468,471,453,439.5,442,420,398.5,368.5,391.5,424,486,477.5,441.5,428,440,478,620.5,493.5,495.5,589.5,497.5,435,502,549,540,546.5,534,552,588,586,568,327,354,282,269,285,263,248,253,247.5,248.5,251,244,263,332.5,352,346,316,249.5,249,312,258,224,212.5,193,186,154.5,121.5,191.5,167.5,125.5,84.5,78
10,75,72.5,72.5,70,73.5,70.5,69.5,68,66.5,70,68.5,68,68,68.5,69,68.5,65,70.5,68,69,71.5,69,73.5,73.5,77.5,86.5,81.5,75,79.5,88,60.5,55.5,46.39,36.81,32.59,25.2,23.37,15.14,10.26,19.91,12.31,13.34,5.38,39.63,110.19,53.96,34.89,65.89,120,127,148,114.5,122,162.5,190.3,180.77,199.18,125,186.5,131.5,168,154,123,100.5,65.12,41.71,45.97,51,67.5,74.5,77,73.5,69.5,77.5,79,84,151.5,207.5,211.5,190.5,201.5,180.5,140.5,136,121,79.5,87,84,86,84,83,77.5,71,77,74,77
