Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
01,24,24.5,23.5,24,23,22.5,22.5,23,22.5,22.5,22,23,23,21.5,22.5,22.5,22.5,26.5,36,44,44.5,47.5,69,87.5,82,90.5,96,98,99,91.5,99.5,102,107,130,137,119,125,126.5,130,125,137,128.5,125.5,133,128,128.5,130,136.5,142.5,139.5,134.5,144,135,132,138,126,135.5,137,134.5,125.5,124,120.5,117,116.5,123.5,114.5,118.5,117.5,117.5,101.5,76,60,56.5,51,41.5,36,32.5,32.5,30.5,27.5,26,26,24.5,24,24,24,24,23.5,24,24,24,23.5,24,24,23.5,23
02,23.5,24,24,23,22.5,23,22,22.5,22,22.5,21,22.5,21.5,23,22,22,22.5,24.5,35,41,47,50,82.5,92.5,86,90.5,93,95,111.5,106.5,120.5,123,135,139,138.5,132,131.5,140.5,130,135,129.5,137,138.5,144,143,137,132,138,152.5,146,146.5,150,145.5,144,133.5,131.5,132.5,137,127,126.5,126,119.5,127,131,122.5,119.5,114,114.5,106.5,81,65.5,55,53,48.5,46.5,41.5,34.5,34.5,34.5,34,32.5,32,33,33.5,33,32.5,32,32,32,31.5,32,31,31,31.5,31,28
03,28.5,29,28,27.5,27,26.5,27.5,26.5,27,27.5,26.5,27,27.5,26.5,27.5,26.5,27.5,27.5,26,28,26.5,27,27,28,31.5,33.5,33.5,36.5,39,42.5,55,57,57,69,73,72.5,73,73.5,68,66.5,66,68.5,63,55,54,47.5,46.5,44.5,44.5,41.5,33,32.5,32,32.5,32.5,32.5,33.5,33,33,32.5,35.5,29,28,28.5,26.5,24.5,23.5,22.5,22.5,23,22.5,22.5,21,23,22,22,22.5,22,22,21.5,23,23,22,22,22,22,22,22,22.5,21.5,22,22.5,22.5,22,22,22
04,21.5,22.5,21.5,22,21.5,21,21.5,21,21.5,21,20.5,21.5,20.5,21,20.5,21,20.5,21.5,21.5,20,20.5,24,21.5,21.5,22,21.5,21,21.5,21,20.5,20.5,21,21,21,24.5,20.5,21,21.5,21.5,21,24,22,21.5,21.5,22,21.5,21.5,21,21.5,23.5,22.5,22,22.5,22.5,25,23,22.5,22.5,22.5,22.5,23,23.5,25.5,24.5,23.5,23.5,24,23.5,24,23,23.5,24.5,23.5,24.5,25,23.5,25,24,24,24,24,24,24,24,24,24,24,24.5,23.5,23.5,24,23.5,23.5,23.5,24,24
05,24,23.5,25,23.5,23,22.5,22,22.5,22.5,23,22.5,22.5,22.5,22.5,22.5,22,22,27,35,42,46.5,48.5,72.5,97.5,111,104,107,104.5,104.5,98,103,145,148,146.5,152,147,152,145.5,155,143,145,149,143.5,144,146.5,148,153,150,153,162.5,153,147.5,149,146,145,142.5,146,145,127.5,130,142,138,124,127,132.5,137.5,132.5,127.5,130,128.5,108,83,83,76,75,60.5,50.5,39,36,37.5,36,34.5,28.5,24.5,23.5,24,23.5,23,23.5,23.5,23.5,24.5,23.5,23,23.5,23
06,23.5,23,22.5,24,22,22,22.5,22,22,21.5,22,21.5,21.5,22,21.5,25.5,26.5,29.5,37,43,46,45.5,68,96.5,103.5,99.5,103.5,127,120,119.5,135.5,127,136,138,135,145,149.5,149.5,153.5,149.5,153,141,134.5,138,141,148,147.5,156,159,159.5,150,146,154.5,146,146,165.5,159.5,152,153.5,162,151.5,145.5,147,143,140,144.5,145.5,135,133.5,122.5,122,108,105.5,85,81,75.5,67,63.5,56,54.5,53,47,47,46,47,46,46,44.5,43.5,36,29.5,30.5,31,30,30,31
07,30.5,27.5,23.5,24.5,23,23,23,23,23.5,23,23,25.5,23.5,23,22.5,23,23,24.5,34,46,48,55,86.5,95,95.5,103,100,104.5,119,121,153.5,153.5,149,153,155,152.5,160,148,164.5,164.5,160.5,161.5,164.5,157,165.5,167,153,157.5,160.5,164,158,160.5,161,164.5,163,159.5,165,154.5,154,152,148,145.5,153.5,150.5,149.5,153,146.5,145.5,147,145.5,124,123,107,102,83.5,64,62,56.5,52.5,42.5,30.5,29.5,29.5,28.5,28.5,29.5,28.5,32.5,29,28.5,29,30,29,29,28,25
08,25,23.5,24,24,23,22.5,23,23,22,23,22,22,22.5,22.5,22.5,22.5,22,27.5,34.5,44,45,45,83.5,103,95.5,110,105,105.5,105.5,112.5,119,117,143,143,143,149,139,136.5,141.5,142.5,136.5,144,149.5,145.5,153,163,151.5,147,160,167,160.5,160,157,149.5,143,141.5,147,142.5,139,141.5,140.5,140,137.5,144,151.5,141.5,142.5,139,135.5,137.5,123,101.5,84,76,70.5,54.5,49.5,46,43.5,42.5,44.5,42.5,40,39,40,39.5,39,39,34,28.5,28.5,27.5,24.5,24,24,24.5
09,24,24,24,24,23,25.5,23,23.5,22.5,22,23,22.5,22,23,22.5,22.5,22.5,24.5,35.5,45,47,55,79,99,99.5,114,109,108.5,119,123.5,133,127.5,132.5,135.5,136,130,127,135.5,137,155,152,152.5,154,142,141,140.5,146.5,155.5,158,160,165.5,159.5,150,154.5,152,152,158,147,136.5,135.5,146.5,144.5,141,141,138,133.5,142,139,137,119,93,87,82.5,79.5,72,65,60.5,55,43.5,39,36,35.5,31.5,30.5,31,31,32,30.5,30,29.5,30,27.5,23.5,23,22.5,22.5
10,22.5,22,23,22.5,21.5,21,21.5,21,19.5,21.5,22,21,20.5,21,21,22.5,21,20.5,21,22,22.5,23.5,23,22.5,23.5,24,24,35,42,45,41.5,48.5,51,51.5,53,50.5,51.5,51.5,45,42,41.5,35,34.5,35.5,36,36,35.5,35.5,37.5,35.5,36.5,35.5,34.5,33.5,30.5,31.5,32.5,33,29,26,26,25.5,25.5,26,24,21,21,20.5,21,20.5,20,25,24.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,23,21.5,21,21.5,22,21.5,22,21.5,21.5,21.5,21.5,21
