Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.38,1.32,2.99,5.36,7.09,6.41,6.68,7.3,6.71,6.7,7.31,7.91,6.09,7.3,7.32,6.71,6.09,7.93,7.3,6.7,6.09,7.31,5.48,6.71,6.72,6.7,6.7,6.7,6.1,8.52,7.31,7.3,6.71,6.7,6.66,6.01,6,5.39,6.54,3.59,2.24,1.56,1.13,0.45,0.03,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.34,1.69,3.77,5.44,7.38,6.09,7.31,5.99,7.3,7.21,6.7,8.52,6.09,6.71,7.3,6.1,7.3,7.31,6.7,7.3,7.3,7.92,7.3,6.71,6.69,6.71,6.7,7.31,6.7,6.7,7.3,7.91,7.92,6.7,8.52,7.93,7.29,6.66,9.14,5.76,4.7,2.49,2.04,0.77,0.09,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.26,1.64,2.86,4.29,6.08,5.93,7.3,7.31,6.7,7.31,6.09,7.31,7.91,6.1,7.9,9.13,9.13,6.09,7.3,7.32,7.3,7.3,7.3,6.09,7.3,7.31,8.52,7.91,7.91,7.3,7.3,7.3,5.48,7.3,6.09,6.69,7.3,7.3,6.63,5.27,6.97,2.91,1.91,1.23,0.19,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1.41,2.9,4.52,5.89,6.4,7.3,7.2,6.71,6.7,6.7,9.14,9.14,7.93,7.3,6.7,7.91,6.09,6.7,8.54,9.14,7.92,7.92,6.1,7.3,6.71,7.31,6.71,6.7,7.22,7.3,7.32,6.7,6.71,7.3,8.54,6.09,6.7,7.29,7.08,6.3,3.7,1.52,0.84,0.67,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
05,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.41,3.55,5.95,6.02,6.59,6.09,7.91,7.32,6.7,7.31,6.7,7.32,7.3,7.32,6.09,7.93,7.3,6.7,8.49,9.08,7.91,6.7,7.31,7.32,7.3,6.7,6.7,7.92,6.7,6.2,9.13,8.53,7.3,6.09,6.7,7.93,6.09,6.7,5.91,5.31,4.07,2.23,0.88,0.15,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0
06,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.09,0.79,3.04,5.03,6.05,6.49,6.68,7.92,7.31,7.3,5.48,6.09,6.09,6.7,8.52,7.31,6.7,6.7,6.7,6.71,6.09,6.7,6.7,7.31,5.48,7.3,6.1,6.7,7.92,5.48,6.71,6.7,6.7,6.7,6.7,7.3,7.31,7.3,7.3,6.05,5.55,5.49,2.77,1.46,0.34,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
07,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.09,1.04,2.5,4.99,5.64,7.25,6.7,6.7,6.7,6.7,8.53,6.7,6.09,8.52,7.31,7.3,6.1,6.59,6.7,6.7,6.7,6.69,7.31,6.69,8.53,6.09,7.92,6.69,6.11,7.91,7.93,7.91,6.09,7.3,6.09,7.3,6.09,7.91,6.66,6.86,6.3,5.3,3.39,1.84,0.32,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0
08,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.14,1.32,3.29,4.7,5.38,6.49,6.7,5.99,7.32,6.09,6.69,7.3,6.09,7.31,6.11,6.09,8.53,7.91,6.7,7.91,6.7,7.3,6.72,6.09,6.09,6.7,7.3,6.7,7.2,7.31,7.91,7.3,6.7,6.07,7.91,7.92,6.7,6.69,6.7,6.02,5.56,5.37,2.5,1.76,0.4,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.08,1.05,2.47,5.08,5.45,7.23,6.7,7.32,7.91,6.71,6.7,7.31,6.71,7.3,6.71,6.09,7.32,7.3,6.2,7.3,6.09,6.09,7.92,7.3,6.71,7.81,5.49,6.09,7.93,6.7,6.71,6.09,8.54,7.3,8.44,6.19,7.31,6.7,6.09,7.68,8.63,5.7,2.55,1.66,1.33,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
10,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,1.63,2.97,5.29,7.73,7.26,6.1,6.09,7.32,6.71,7.3,6.7,7.92,4.88,7.31,6.71,7.31,7.93,7.3,6.7,7.32,6.7,6.09,5.47,6.6,6.7,6.09,7.93,7.3,6.2,6.09,7.92,6.7,6.1,6.09,7.31,6.7,6.09,7.2,7.29,6.18,6.12,2.3,0.95,0.12,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.47,2.93,5.52,7.51,7.22,6.66,6.6,6.09,7.92,7.81,6.7,7.3,8.53,6.09,6.7,6.69,7.32,6.69,6.7,6.1,7.3,6.7,6.09,6.7,7.92,6.09,7.31,7.91,6.2,6.7,6.7,7.92,7.91,7.31,7.28,7.92,5.94,5.98,6.41,4.82,5.03,2.96,1.53,0.73,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0.88,2.09,4.42,5.55,6.92,8.52,7.3,6.7,6.7,6.1,6.69,6.7,6.7,7.91,6.7,7.3,6.7,7.91,7.3,6.6,6.7,7.31,6.09,6.09,5.98,6.7,7.3,7.31,6.08,7.31,7.91,7.3,5.48,7.91,6.69,6.7,7.92,6.08,7.31,6.55,6.57,3.44,1.31,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
