station_name,Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Data_สถานีชาร์จ,2024-10-01,0.01,0.13,0.13,0.12,0.01,0.13,0.13,0.13,0.01,0.13,0.13,-0.01,0.13,0.13,0.13,0.01,0.13,0.13,0.13,-0.01,0.13,0.13,0.13,0.01,0.13,0.13,0.13,-0.01,0.13,0.13,0.01,0.13,0.13,0.13,0.01,0.13,0.12,0.13,0.01,0.13,24.38,104.38,141.63,218.45,153.83,206.08,162.39,192.64,231.28,202.52,172.51,211.51,216.14,194.38,227.7,79.39,129.95,179.64,118.08,207.64,285.89,210.77,174.14,217.95,161.13,28.63,1.26,1.26,1.26,0.63,0.01,0.13,0.13,-0.01,0.13,0.13,0.01,209.83,338.53,308.92,264.92,296.94,306.52,206.5,270.73,308.55,145.72,48.35,39.32,277.89,209.27,92.64,28.77,1.38,0.63,0.13
Data_สถานีชาร์จ,2024-10-02,0.12,0.13,0.01,0.13,0.13,0.01,0.26,0.01,0.12,0.13,0.01,0.13,0.13,0.01,0.26,-0.01,0.01,0.26,0.01,0.13,0.13,0.01,0.12,0.13,0.01,0.13,0.13,0.13,0.13,-0.01,0.13,0.13,0.13,0.01,0.13,0.13,0.01,0.12,0.13,58.82,183.76,140.09,77.95,33.63,97.26,82.51,35.64,23.83,33.01,135.01,42.2,11.64,115.71,174.22,157.73,175.38,231.48,282.92,284.52,200.09,201.33,167.58,199.32,19.01,37.01,21.63,1.26,0.76,0.12,0.13,0.01,0.13,0.13,0.13,0.01,0.13,0.12,1.38,164.88,180.15,177.58,246.59,223.53,220.75,251.26,200.34,285.83,184.14,138.27,189.45,158.07,46.38,1.13,1.13,1.01,0.38
Data_สถานีชาร์จ,2024-10-03,0.01,0.13,0.13,0.13,-0.01,0.13,0.13,0.13,0.13,0.01,0.13,0.13,0.01,0.26,-0.01,0.01,0.26,0.01,0.13,0.13,0.01,0.13,0.12,0.13,0.13,0.01,0.13,0.13,0.01,0.13,0.12,0.13,0.01,0.13,0.13,52.32,168.43,160.76,73.82,138.03,90.67,138.89,23.83,107.7,60.45,161.61,106.78,94.45,56.07,0.63,0.51,0.01,24.0,151.61,129.01,60.89,46.69,179.98,177.78,197.33,209.3,229.41,31.87,1.26,0.76,0.63,0.13,0.01,0.12,0.13,0.01,0.13,0.13,0.01,0.26,0.01,0.13,0.12,0.01,0.13,171.01,103.25,81.73,275.88,239.03,152.76,217.33,270.05,221.53,240.58,206.59,64.52,56.38,11.26,0.63,0.38
Data_สถานีชาร์จ,2024-10-04,0.01,0.13,0.12,0.13,0.13,0.01,0.13,0.13,0.01,0.26,0.01,-0.01,0.26,0.01,0.01,0.26,0.01,0.13,0.13,-0.01,0.13,0.13,0.13,0.01,0.13,0.13,0.01,0.24,0.01,0.13,0.13,0.01,0.26,0.01,57.13,56.76,18.63,0.13,0.12,0.01,133.16,151.06,107.33,34.82,88.83,116.57,79.37,35.75,21.95,6.57,0.13,0.13,22.27,203.48,184.03,141.99,123.09,194.92,225.25,191.03,205.25,101.04,63.34,1.12,0.63,0.26,0.13,0.01,0.26,0.01,0.01,0.26,-0.01,0.13,0.13,0.01,0.26,0.01,0.01,1.01,150.13,106.63,6.63,0.13,137.13,158.32,210.52,302.78,263.41,117.75,115.76,292.33,278.28,105.66,48.45,15.7
Data_สถานีชาร์จ,2024-10-05,0.26,0.13,0.12,0.01,0.26,0.01,0.01,0.26,0.01,0.13,0.13,0.01,0.12,0.13,0.13,0.13,0.01,0.13,0.13,0.01,0.13,0.12,0.13,0.01,0.13,0.13,0.13,0.01,0.13,0.12,0.13,0.01,0.13,0.13,0.01,0.13,0.13,0.13,0.12,0.01,0.13,0.13,0.01,123.7,151.64,20.08,33.39,112.38,102.07,123.08,121.83,94.58,3.45,152.26,233.14,138.28,69.45,116.76,29.01,0.75,0.61,0.5,0.25,0.0,0.13,0.13,0.0,20.5,45.38,6.63,0.36,0.0,0.25,0.0,0.0,21.75,262.01,321.33,224.72,307.52,262.19,113.27,38.89,17.2,16.58,2.89,0.01,0.12,0.13,0.01,0.13,0.13,0.01,0.26,0.01,-0.01
Data_สถานีชาร์จ,2024-10-06,0.26,0.01,0.13,0.13,0.01,0.13,0.13,-0.01,0.13,0.13,0.13,0.01,0.13,0.13,-0.01,0.13,0.13,0.01,0.26,0.01,0.01,0.24,0.01,0.01,0.26,0.01,0.13,0.01,0.12,0.13,0.01,0.26,0.01,0.01,0.26,-0.01,0.01,0.26,0.01,0.13,0.13,0.01,0.13,0.12,0.01,0.13,0.13,0.13,0.01,0.13,0.13,-0.01,0.01,0.26,0.01,0.13,0.13,0.01,0.12,0.13,0.01,0.13,0.13,0.13,0.01,0.12,0.13,0.01,0.13,0.13,0.01,0.26,0.01,-0.01,0.26,0.01,0.01,0.13,0.13,0.13,-0.01,0.13,0.13,0.01,0.13,0.13,0.01,0.26,-0.01,0.01,0.26,0.01,0.01,0.26,0.01,0.12
Data_สถานีชาร์จ,2024-10-07,0.13,0.01,0.13,0.13,0.13,0.01,0.01,0.24,0.01,0.01,0.26,0.01,0.13,0.13,-0.01,0.13,0.13,0.01,0.13,0.13,0.13,0.01,0.12,0.13,0.01,0.26,0.01,0.01,0.26,-0.01,0.01,0.26,0.01,0.13,0.13,0.01,0.13,0.12,13.26,114.38,27.01,0.88,184.13,194.39,154.33,182.59,153.7,251.52,203.89,191.45,151.76,227.39,175.01,200.45,244.08,78.33,197.38,78.02,39.22,154.58,186.13,202.2,183.14,132.82,106.13,118.13,195.76,75.76,6.38,1.26,1.13,0.51,0.13,0.13,0.01,0.12,42.26,274.03,332.78,273.31,268.16,307.52,247.76,192.84,143.47,196.14,99.02,20.07,111.14,262.95,229.95,60.39,2.76,1.26,6.14,0.13
Data_สถานีชาร์จ,2024-10-08,0.0,0.25,0.0,0.11,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.11,-0.01,0.13,0.13,0.0,0.13,0.13,0.13,0.13,-0.01,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.11,0.0,0.25,0.0,0.0,0.25,0.0,0.13,0.11,0.0,0.13,0.13,86.51,72.25,204.19,172.7,161.26,86.01,229.2,196.66,146.83,152.01,194.01,163.08,194.63,210.95,205.98,188.73,249.7,151.77,114.14,163.51,241.07,176.01,186.64,89.07,175.13,153.76,106.01,41.27,1.24,0.76,0.63,0.13,0.13,0.01,0.13,0.13,74.38,116.88,246.61,320.28,279.19,289.36,259.39,197.16,181.2,140.52,125.58,61.08,157.51,268.64,198.83,52.64,17.7,5.26,0.01,0.26
Data_สถานีชาร์จ,2024-10-09,0.01,0.13,0.13,0.01,0.26,-0.01,0.01,0.26,0.01,0.13,0.13,0.01,0.13,0.12,0.13,0.01,0.13,0.13,0.01,0.13,0.13,0.12,0.13,0.01,0.13,0.13,0.01,0.26,0.01,-0.01,0.26,0.01,0.01,0.26,0.01,0.13,0.13,-0.01,0.26,0.01,46.63,98.26,183.01,153.01,165.41,117.14,203.2,199.45,116.45,162.7,132.01,234.63,146.7,232.64,189.14,114.08,201.51,96.97,116.39,105.38,167.27,241.7,142.08,237.14,237.89,96.38,1.26,1.26,1.26,0.13,0.13,0.13,0.01,0.12,0.13,0.13,79.51,298.19,303.95,269.41,286.14,290.44,252.06,233.44,170.79,27.34,30.34,40.48,89.44,257.67,288.3,74.56,1.26,0.63,0.01,0.13
Data_สถานีชาร์จ,2024-10-10,0.13,0.13,0.01,0.13,0.12,0.01,0.13,0.13,0.13,0.01,0.13,0.13,0.12,0.01,0.13,0.13,0.13,0.01,0.13,0.13,-0.01,0.13,0.13,0.13,0.01,0.13,0.13,0.13,-0.01,0.13,0.13,0.01,0.13,0.13,0.01,0.26,0.01,0.12,0.13,0.01,83.01,75.26,158.26,170.26,184.27,176.59,191.14,226.89,124.95,235.83,171.77,201.01,196.51,217.89,189.27,90.39,192.57,65.14,94.4,207.7,235.33,269.27,241.08,124.2,147.95,60.07,1.01,0.88,0.76,0.38,0.13,0.12,0.01,0.13,0.13,0.01,5.76,158.16,263.77,322.69,321.09,195.38,180.56,245.88,168.08,151.07,134.07,93.7,162.33,273.34,174.95,27.08,1.13,0.51,0.24,0.01
