station_name,Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Data_อาคารจามจุรี 9,2024-02-01,95.0,83.5,85.5,86.0,84.0,82.0,78.0,77.0,77.5,77.0,78.0,76.5,77.5,77.0,75.5,75.5,79.5,77.5,77.5,76.0,82.0,83.5,85.0,89.0,101.0,107.0,120.5,117.5,115.5,137.0,143.5,246.0,428.5,484.0,430.5,377.5,393.5,378.0,392.5,395.5,406.0,398.0,331.5,357.5,411.0,438.5,394.0,371.5,423.5,398.0,405.0,381.0,450.5,435.0,468.0,425.0,383.0,436.5,447.0,436.5,434.0,480.5,530.5,526.0,433.5,360.0,273.5,282.0,314.0,302.5,304.5,309.5,304.5,305.5,312.0,301.5,347.0,416.0,398.0,404.5,392.0,380.5,384.0,347.0,267.0,280.5,203.0,164.5,214.5,238.5,188.0,138.0,105.0,101.5,103.5,103.0
Data_อาคารจามจุรี 9,2024-02-02,100.5,97.0,103.5,100.0,96.0,95.5,93.5,90.5,90.5,94.5,93.0,89.5,95.5,91.0,91.0,86.0,78.5,75.0,73.5,77.0,81.0,82.0,85.0,83.0,94.0,107.5,111.0,115.5,126.0,141.5,337.5,431.5,438.0,421.5,407.5,377.0,351.0,343.0,370.5,388.5,383.5,428.0,451.5,397.0,409.0,498.5,443.0,361.0,470.0,412.5,409.5,356.0,401.0,437.5,459.0,468.5,461.0,436.5,441.5,491.0,448.0,534.5,549.5,538.0,517.0,444.5,427.0,438.5,346.0,323.5,337.5,324.5,321.0,322.5,323.0,325.0,320.5,431.5,469.5,473.0,427.0,416.0,416.0,420.5,312.0,301.0,222.0,166.0,229.0,246.0,203.5,158.0,128.0,124.0,116.0,115.0
Data_อาคารจามจุรี 9,2024-02-03,114.5,111.0,112.0,111.5,109.5,104.5,102.0,102.0,96.5,85.0,80.5,80.5,79.0,80.0,77.5,80.5,81.5,79.5,79.5,79.0,83.0,83.0,87.5,90.5,89.5,92.0,97.0,93.5,94.5,86.0,82.0,79.5,76.09,74.38,76.47,74.81,39.88,39.22,54.25,48.94,30.97,37.19,28.09,88.66,71.84,70.13,59.5,91.22,70.16,42.69,40.91,66.81,102.16,87.13,110.34,197.34,239.0,200.41,186.22,219.88,189.22,165.13,171.06,141.0,130.28,128.22,119.5,121.03,138.5,151.5,152.0,161.5,161.0,166.0,166.0,193.0,261.0,284.5,255.0,291.5,280.5,234.5,156.0,165.5,193.5,155.0,135.5,132.0,121.0,114.0,104.5,118.5,106.5,107.5,104.0,100.5
Data_อาคารจามจุรี 9,2024-02-04,94.0,93.0,89.0,94.0,90.0,85.0,81.0,77.5,81.5,79.5,78.5,80.0,78.5,79.5,79.0,77.5,77.5,76.0,78.5,78.5,83.0,80.5,85.5,85.0,86.5,91.0,96.0,88.5,84.0,81.5,76.5,74.5,73.63,68.38,82.47,81.56,88.16,68.19,71.91,52.88,56.44,62.19,79.91,66.81,53.28,68.81,128.69,106.22,84.09,87.13,72.5,86.38,160.81,178.88,104.72,140.47,147.56,128.91,87.44,127.28,95.59,99.81,109.53,94.44,54.59,61.72,69.22,78.0,96.78,101.0,107.0,107.5,110.0,109.5,112.0,109.5,107.0,106.5,106.5,100.0,93.0,90.5,92.5,92.5,86.5,85.5,84.5,88.0,88.0,89.5,88.5,88.0,81.0,87.5,83.5,85.0
Data_อาคารจามจุรี 9,2024-02-05,86.0,86.5,84.0,83.0,84.5,83.0,81.0,79.0,79.5,80.0,79.5,79.0,79.5,77.5,80.0,77.5,77.0,78.5,78.5,78.5,86.0,87.5,88.5,90.0,97.5,110.5,114.0,120.5,120.5,138.0,430.0,439.5,499.5,472.5,460.0,442.0,417.5,391.5,410.0,421.5,436.0,490.5,452.5,415.0,434.5,450.0,380.5,405.5,470.5,445.5,375.0,387.0,443.0,461.0,430.5,443.0,412.0,410.5,467.0,519.0,512.0,561.0,552.5,664.5,554.5,487.0,404.5,393.5,404.5,410.0,416.0,425.5,416.0,428.0,392.0,383.0,421.5,471.5,472.0,464.0,430.0,436.5,457.5,435.5,419.5,347.0,214.0,179.5,248.5,230.5,193.5,166.0,141.0,136.0,119.0,119.5
Data_อาคารจามจุรี 9,2024-02-06,118.5,114.0,114.5,110.5,110.5,106.0,104.0,94.0,85.5,86.0,82.5,85.5,82.5,83.5,84.5,84.5,82.5,83.5,83.0,84.5,88.5,88.5,92.5,93.0,118.5,161.5,127.0,123.5,144.0,154.5,432.0,452.5,462.0,471.0,439.5,419.0,434.0,406.5,412.0,413.5,458.0,455.5,439.0,414.0,456.0,431.0,389.5,388.0,417.0,390.5,341.5,318.0,389.0,375.5,359.0,370.0,365.5,410.0,401.5,494.0,451.0,499.5,479.0,463.0,347.0,348.5,356.0,368.0,375.5,372.0,374.0,375.5,378.0,358.0,347.0,356.0,347.0,431.5,475.5,505.0,377.5,431.5,376.5,390.0,360.5,339.5,291.5,218.5,224.0,238.5,204.0,147.0,114.0,110.5,113.0,115.0
Data_อาคารจามจุรี 9,2024-02-07,109.5,108.5,104.5,105.0,101.5,101.5,99.0,99.0,97.0,91.0,83.0,82.5,81.0,80.5,80.5,79.5,82.5,82.5,81.5,84.0,83.5,90.0,94.0,92.0,106.0,111.0,119.0,131.0,124.5,143.0,355.0,405.0,413.5,446.5,430.0,422.5,395.0,437.5,471.0,474.5,469.5,490.5,492.0,446.0,495.5,495.0,482.5,471.0,579.5,537.0,506.0,497.0,580.0,594.0,563.0,565.5,509.0,533.0,539.0,616.0,561.5,653.5,613.5,588.0,582.5,541.5,543.5,488.5,459.0,416.5,419.5,416.5,404.5,391.5,395.0,385.0,360.5,481.5,525.0,487.5,472.5,433.5,444.5,480.0,476.0,385.0,292.5,197.5,239.0,280.5,231.0,171.0,130.0,120.5,111.5,116.0
Data_อาคารจามจุรี 9,2024-02-08,118.0,112.5,110.0,109.0,105.5,102.5,105.0,105.5,104.0,102.5,104.5,100.0,98.0,106.0,93.0,86.5,92.0,87.5,87.5,87.5,94.5,91.0,98.0,103.0,112.5,134.0,145.0,284.5,488.0,461.5,468.0,458.0,461.0,498.5,496.0,528.5,511.0,499.0,494.0,523.5,528.0,543.5,552.0,516.5,559.0,594.5,566.5,483.0,575.5,529.5,499.5,515.0,570.0,626.5,553.0,517.0,488.0,494.0,553.5,559.0,528.5,585.5,647.0,663.0,613.5,541.0,482.5,404.0,392.0,396.5,389.0,392.5,388.5,389.5,395.5,381.5,406.5,541.5,529.0,514.0,497.0,505.5,490.0,490.5,393.0,272.0,246.0,188.0,220.5,219.0,191.0,128.0,92.5,89.0,86.0,87.0
Data_อาคารจามจุรี 9,2024-02-09,92.0,92.5,97.0,96.0,95.0,89.5,92.5,85.5,88.0,84.5,86.0,84.0,83.5,83.0,82.0,84.5,82.0,83.0,86.5,87.0,90.0,89.5,89.5,104.5,123.0,132.5,164.5,193.5,185.0,225.0,467.5,484.0,458.0,464.5,443.5,426.0,501.5,483.5,420.0,433.0,430.5,424.5,445.5,444.0,469.5,454.5,381.0,343.0,418.0,438.5,416.0,387.0,451.5,485.0,491.5,487.0,489.5,441.0,489.5,521.5,514.0,569.5,550.0,517.5,484.5,435.5,453.5,403.0,320.5,346.0,335.5,344.0,329.5,331.5,334.5,302.5,351.0,461.5,460.5,450.0,430.5,396.5,448.0,428.0,401.0,372.0,298.0,223.5,305.5,332.5,237.0,131.0,124.0,122.0,115.5,116.0
Data_อาคารจามจุรี 9,2024-02-10,114.5,114.5,113.5,108.5,108.0,105.0,104.0,102.5,99.0,100.5,98.5,95.0,95.0,99.5,94.0,96.0,92.5,92.5,88.5,91.0,81.0,83.0,85.0,99.5,91.0,92.0,98.5,96.5,90.5,91.0,91.0,86.5,81.0,82.44,64.59,67.88,87.0,95.0,89.5,100.5,96.0,144.0,140.0,116.25,74.81,78.88,120.41,149.78,162.13,168.5,151.5,153.0,146.0,165.19,236.0,239.72,136.13,171.69,167.16,99.0,164.03,174.63,154.22,95.72,99.03,117.75,123.81,137.5,145.03,161.0,137.5,170.0,151.0,157.5,151.0,235.0,268.5,283.5,263.5,240.0,216.5,201.0,149.0,144.5,131.0,128.5,83.0,90.0,87.0,88.0,88.0,85.0,80.0,80.5,81.5,77.5
Data_อาคารจามจุรี 9,2024-02-11,85.5,83.0,84.0,78.5,77.5,78.5,77.5,76.5,76.0,77.5,76.5,75.5,74.5,76.0,77.0,76.0,74.5,75.0,76.5,78.0,82.5,84.5,87.0,89.5,90.5,93.0,95.5,90.5,86.0,81.5,77.78,61.69,64.56,65.47,47.88,62.25,63.78,63.19,65.37,50.84,61.31,64.62,63.47,62.0,67.31,65.19,50.78,32.09,42.19,52.16,37.75,28.44,32.38,63.84,60.59,77.5,82.75,83.53,81.47,83.16,113.34,112.75,116.56,113.78,102.56,102.22,61.72,71.53,84.5,88.5,95.0,103.0,111.5,104.5,103.5,108.0,104.0,100.5,97.5,95.0,99.5,96.5,97.0,93.5,90.0,91.0,92.5,94.0,95.0,93.0,97.5,94.5,91.5,91.0,89.0,93.0
Data_อาคารจามจุรี 9,2024-02-12,91.0,91.0,88.0,92.0,89.5,83.5,84.0,86.5,85.0,79.0,89.5,84.0,84.0,80.5,85.5,84.0,84.0,83.5,82.5,82.5,87.0,89.0,92.0,97.0,117.0,123.0,157.0,168.5,197.0,196.5,408.0,486.0,453.5,487.5,467.0,481.0,434.5,403.5,413.0,461.5,439.5,494.5,446.0,457.0,473.0,442.5,383.0,420.0,457.0,423.0,397.0,415.5,446.0,459.0,409.0,425.0,389.5,400.0,435.0,526.5,493.0,574.0,583.0,578.5,448.0,390.0,388.5,380.0,355.5,408.5,392.0,388.5,383.0,373.5,366.0,360.5,390.0,491.5,488.5,447.5,482.5,460.0,449.0,400.0,323.5,285.5,293.0,184.0,273.0,251.5,199.0,159.0,126.5,124.0,119.5,119.0
Data_อาคารจามจุรี 9,2024-02-13,119.5,111.5,113.0,113.0,111.0,104.5,108.5,105.0,100.5,107.0,105.0,109.5,108.0,108.5,112.0,105.0,107.0,108.0,109.0,109.0,115.5,113.5,122.0,121.0,146.5,165.5,346.5,385.0,373.0,405.5,374.0,416.0,451.0,449.5,447.0,406.5,440.0,396.0,388.0,437.5,425.5,451.5,406.5,406.0,435.0,486.0,400.0,393.5,489.5,446.5,370.0,327.0,393.5,403.5,339.5,385.5,343.0,391.0,382.5,481.5,456.0,458.5,540.5,544.0,488.0,398.5,389.5,390.5,390.5,409.0,398.0,411.5,376.0,431.0,393.5,395.5,434.0,543.0,531.0,548.5,499.0,424.0,434.5,391.5,329.0,335.5,280.0,179.5,219.5,251.5,197.0,141.5,110.5,110.0,109.0,105.0
