station_name,Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Data_อาคารจุลจักรพงษ์,2024-05-01,24.5,24.5,24.5,23.5,23.0,23.0,23.5,22.5,23.0,22.5,22.5,23.0,22.0,23.0,22.5,22.5,22.5,28.0,36.5,46.5,47.5,49.0,84.5,115.0,120.5,118.5,123.0,122.5,120.5,119.5,139.5,149.0,147.5,156.0,167.0,158.0,161.5,161.5,171.0,185.0,192.0,181.0,180.0,177.0,172.5,171.5,167.0,168.5,170.5,168.0,168.0,179.5,182.0,176.0,169.5,172.0,150.5,153.5,154.5,148.0,151.0,147.0,146.5,149.0,148.0,136.0,131.0,116.5,99.5,86.5,82.5,75.0,65.0,63.0,56.0,42.5,38.0,36.0,29.5,27.5,29.5,28.5,29.0,28.5,29.5,29.0,28.0,28.5,28.5,28.5,30.0,26.0,27.0,28.5,28.0,27.5
Data_อาคารจุลจักรพงษ์,2024-05-02,27.5,23.5,23.5,23.0,23.0,22.0,22.5,23.5,22.0,21.5,22.5,22.0,23.0,22.0,22.0,23.0,21.5,25.5,38.5,47.0,46.0,52.5,107.0,131.0,128.0,123.0,128.5,131.0,136.5,147.0,155.5,158.0,156.5,163.5,165.5,160.5,163.0,163.0,160.5,164.5,168.5,161.0,164.5,177.0,167.5,169.5,169.5,166.0,174.5,170.0,168.5,165.0,166.5,161.0,159.0,165.5,159.0,160.5,162.5,153.5,156.5,152.5,150.0,147.5,150.0,148.0,149.0,146.5,138.5,99.5,90.5,87.5,77.5,67.5,61.5,54.0,53.5,53.0,51.5,46.5,43.0,42.0,42.0,41.5,42.5,41.0,41.0,43.5,41.5,42.0,41.5,40.5,41.0,41.5,41.0,40.5
Data_อาคารจุลจักรพงษ์,2024-05-03,41.0,39.0,35.0,34.5,34.5,33.5,31.5,24.5,24.5,24.0,24.5,24.5,24.5,24.0,24.5,24.0,24.0,28.5,39.5,47.5,48.0,48.0,67.5,103.5,123.5,128.0,124.5,126.5,133.5,138.5,142.5,149.0,149.0,158.5,169.5,176.5,174.0,173.0,179.0,174.0,191.5,188.0,182.5,187.0,187.5,184.0,185.5,184.5,187.5,188.5,185.0,180.0,179.5,174.0,171.0,174.5,172.0,157.5,148.5,150.0,144.5,149.5,135.5,134.5,140.5,143.0,137.0,135.0,125.0,114.5,94.0,87.5,82.0,78.0,55.0,47.0,45.0,42.0,41.0,40.0,38.5,38.0,38.5,38.0,37.0,37.5,36.5,37.5,35.5,32.5,32.0,32.5,32.0,29.0,23.0,22.5
Data_อาคารจุลจักรพงษ์,2024-05-04,23.0,23.0,23.0,23.0,22.0,21.0,21.5,22.0,21.0,22.0,21.5,21.5,22.0,21.5,21.5,21.0,21.5,22.0,24.0,24.0,22.0,21.5,21.0,22.0,21.5,21.5,20.5,21.0,20.5,23.0,44.5,63.0,64.0,65.5,69.0,72.0,70.5,71.5,74.5,75.5,77.0,76.5,67.0,40.0,37.5,33.0,24.0,33.0,31.0,28.5,28.0,28.5,28.5,28.0,29.0,28.0,29.0,29.5,32.0,32.0,31.5,32.0,32.0,32.0,28.5,24.5,24.5,25.5,25.5,25.0,25.5,22.5,22.0,23.0,22.5,21.5,22.5,22.0,22.0,22.5,22.0,22.5,22.0,22.0,22.0,22.0,22.0,23.0,21.5,22.0,23.0,22.0,21.5,22.0,22.5,21.5
Data_อาคารจุลจักรพงษ์,2024-05-05,22.0,21.5,22.0,21.5,21.0,21.0,20.5,20.0,21.0,20.5,20.5,20.5,20.5,20.5,20.5,21.0,20.5,21.0,21.0,20.0,21.0,20.0,20.5,20.5,20.5,21.0,19.0,20.5,19.5,20.0,19.0,20.0,20.0,20.0,20.0,20.5,20.5,20.0,21.5,24.5,20.5,20.0,21.0,21.0,21.5,20.5,21.0,20.5,21.5,21.5,21.5,22.5,23.0,21.0,21.5,21.5,21.5,20.0,21.5,21.0,22.0,23.0,20.5,21.5,20.5,21.0,21.5,21.0,20.5,21.0,21.0,21.5,22.5,23.0,21.5,21.5,22.5,23.0,22.0,21.0,22.5,22.0,21.5,22.0,21.5,22.0,22.0,22.0,22.5,22.0,21.5,22.0,21.5,21.5,22.5,21.5
Data_อาคารจุลจักรพงษ์,2024-05-06,22.0,22.0,21.0,22.0,21.5,20.5,21.0,20.5,20.5,20.0,20.5,21.0,20.5,21.0,20.5,21.5,20.5,20.5,20.5,20.5,20.5,20.5,21.0,22.0,20.5,20.0,20.5,20.0,20.5,20.0,19.5,20.0,20.5,20.0,20.5,20.5,20.5,21.5,20.5,22.5,23.5,20.5,21.5,32.0,31.0,31.5,32.0,34.0,33.0,32.0,32.0,31.0,33.0,33.0,33.5,35.0,34.0,34.5,34.5,33.5,33.5,33.0,33.0,36.5,32.5,33.0,33.0,33.0,32.5,33.5,33.5,32.0,32.5,34.5,34.5,34.0,34.0,35.5,36.0,33.5,34.5,34.0,34.0,30.0,29.0,23.5,23.5,23.0,23.5,23.0,23.5,24.0,26.5,23.0,23.0,23.5
Data_อาคารจุลจักรพงษ์,2024-05-07,22.5,23.0,24.0,22.5,22.5,21.5,23.0,22.0,21.5,22.0,23.0,23.5,21.5,22.0,21.5,21.5,22.5,26.0,38.5,45.0,49.5,47.0,75.0,141.5,134.0,132.5,135.5,145.5,145.0,145.5,141.5,145.0,139.5,143.0,153.0,162.0,163.0,152.5,152.0,152.5,146.5,148.0,150.5,148.0,159.0,157.5,156.0,159.5,163.5,157.5,157.0,162.5,150.5,157.5,153.0,153.5,154.0,151.0,151.0,132.5,131.5,131.5,125.5,128.5,120.0,115.0,114.0,110.0,102.0,91.0,70.5,57.5,47.5,43.5,36.0,33.5,33.0,32.5,33.0,28.5,28.0,28.0,27.0,26.0,26.5,25.5,26.0,25.0,26.0,26.0,25.5,25.0,26.0,26.0,25.5,24.5
Data_อาคารจุลจักรพงษ์,2024-05-08,26.0,26.5,25.0,25.0,24.5,24.0,24.0,24.0,24.0,24.5,23.5,23.5,25.0,24.0,24.0,24.0,24.0,27.5,39.5,43.0,47.5,50.0,80.0,109.5,110.0,105.5,111.0,108.5,113.5,113.0,116.5,142.0,138.0,149.0,139.0,159.5,153.0,152.0,151.5,165.5,163.0,162.5,160.5,160.5,153.5,164.0,157.0,156.0,172.5,161.0,167.5,164.5,162.0,170.5,157.5,161.5,161.5,162.5,158.0,136.0,143.0,144.5,138.0,130.0,133.5,127.5,128.5,124.5,113.5,98.5,82.5,75.0,67.5,65.0,56.0,36.5,30.0,29.5,29.5,32.0,29.0,29.0,30.0,29.5,29.0,29.0,29.5,26.0,24.0,23.5,27.0,23.5,23.5,24.5,23.5,23.5
Data_อาคารจุลจักรพงษ์,2024-05-09,23.0,23.5,24.0,23.0,22.5,24.5,23.0,20.0,22.0,22.5,21.5,22.0,22.0,22.0,21.5,26.5,26.5,33.0,38.5,45.0,50.0,52.5,82.5,108.0,119.5,108.5,114.0,130.0,128.5,138.0,155.5,153.0,156.0,172.0,161.0,161.0,166.5,165.5,161.0,164.5,161.0,160.5,158.5,155.5,157.0,161.0,168.0,164.0,160.5,160.5,161.0,159.0,160.0,162.0,153.5,142.0,145.5,142.0,138.0,139.0,137.5,133.0,126.5,126.5,123.0,126.0,115.5,117.0,102.0,86.0,85.0,75.5,66.5,48.5,42.5,41.0,38.0,36.0,35.5,35.5,31.5,26.0,22.5,23.0,23.5,22.5,22.5,22.5,23.0,22.0,22.5,22.5,23.0,22.5,22.5,23.5
Data_อาคารจุลจักรพงษ์,2024-05-10,22.5,22.5,23.0,22.5,21.0,21.5,21.0,21.5,21.0,22.0,21.0,22.0,21.0,21.0,21.5,25.5,29.0,26.0,25.5,26.0,26.0,25.5,26.0,26.5,30.0,39.0,49.5,48.5,50.0,53.5,55.0,54.5,54.5,55.0,50.5,37.0,26.5,20.0,20.5,20.5,20.5,21.0,20.5,21.5,23.0,20.5,20.5,20.0,21.0,20.5,20.5,20.5,20.5,23.0,22.0,21.0,20.0,21.0,20.0,21.0,24.5,21.5,20.5,20.0,22.0,20.5,21.5,21.5,20.5,20.5,20.0,20.0,21.0,22.0,21.5,23.0,22.0,22.5,22.0,25.5,21.5,22.0,21.5,21.5,22.0,21.5,22.5,21.5,21.5,21.5,21.5,23.5,23.0,21.0,21.5,22.0
