station_name,Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Data_อาคารบรมราชกุมารี,2024-03-01,30.0,26.0,25.0,24.0,25.0,28.5,29.5,29.5,28.5,30.0,30.0,45.5,36.5,29.5,29.0,29.0,29.0,25.0,24.0,24.0,24.0,27.5,30.0,31.5,34.0,47.5,56.5,67.0,82.5,106.5,128.0,209.5,262.5,257.0,261.0,286.0,307.5,341.5,344.5,331.5,342.0,341.5,365.0,372.5,368.0,358.5,368.0,331.5,306.0,330.5,325.5,335.0,333.0,338.0,335.0,323.5,311.5,296.5,299.5,322.5,307.0,277.0,260.5,246.0,210.0,146.5,134.5,113.5,102.0,83.0,75.5,69.0,65.0,61.0,56.0,52.0,44.0,40.5,36.0,36.5,36.5,31.0,29.5,29.5,29.0,29.5,32.0,31.5,30.0,32.0,31.5,32.0,32.5,31.5,31.0,31.5
Data_อาคารบรมราชกุมารี,2024-03-02,30.5,27.5,25.5,25.0,24.5,27.5,29.5,29.5,29.5,30.0,30.0,30.0,29.0,29.5,28.5,29.5,28.5,25.5,24.5,24.0,23.0,27.5,30.5,29.5,30.0,31.0,30.0,30.0,31.0,30.0,28.0,27.5,32.0,34.5,35.0,40.5,35.0,36.0,38.0,37.5,42.0,44.0,43.5,40.5,39.5,40.5,40.0,39.0,37.5,38.0,41.0,38.5,40.5,52.0,44.5,39.5,37.5,36.5,32.5,29.5,28.5,29.5,32.0,35.0,33.5,33.0,33.0,30.5,31.5,35.0,37.0,37.5,35.5,35.0,32.5,32.5,31.5,29.5,29.0,29.0,32.0,27.5,25.5,24.5,24.5,28.0,28.5,28.5,29.0,29.0,28.5,29.5,28.5,28.5,28.5,28.5
Data_อาคารบรมราชกุมารี,2024-03-03,27.5,25.5,22.5,23.5,23.0,25.5,27.0,28.0,29.0,28.0,27.0,27.5,26.5,27.0,27.5,27.0,27.0,23.5,22.0,22.5,22.5,26.0,27.0,27.0,28.0,29.0,28.5,27.0,26.5,24.0,24.0,27.5,27.0,25.0,27.0,29.0,26.5,26.5,26.0,27.5,29.0,29.0,28.5,28.5,27.5,28.0,30.0,30.0,29.5,29.5,29.0,31.0,31.5,32.0,31.0,32.0,33.5,32.5,31.0,31.0,32.0,32.0,36.5,36.0,34.0,33.5,31.0,33.0,33.5,34.5,36.5,37.5,38.5,38.0,40.0,37.0,37.0,34.5,36.0,34.0,34.5,31.5,29.0,29.0,28.5,32.0,34.5,32.0,33.5,34.0,32.5,32.5,31.0,30.5,31.0,31.5
Data_อาคารบรมราชกุมารี,2024-03-04,30.5,27.0,25.0,24.5,24.5,27.5,28.5,29.0,28.0,28.5,28.0,29.0,28.0,27.5,28.0,28.5,27.5,24.5,23.0,22.5,23.5,26.0,28.0,35.5,46.5,55.5,63.0,69.5,96.5,127.5,179.0,307.5,348.5,378.5,379.0,369.0,361.0,369.0,372.5,371.0,376.5,381.5,367.0,354.0,353.5,331.0,321.5,321.5,323.5,337.0,333.0,345.0,347.0,329.0,325.5,318.5,327.0,317.5,302.0,274.5,250.0,243.0,220.5,209.0,188.5,166.5,161.0,123.5,97.0,86.0,78.0,75.0,62.0,60.5,58.0,48.0,45.0,43.5,40.0,36.5,35.5,31.0,32.0,31.5,29.0,31.5,32.5,34.0,33.0,35.0,33.0,31.5,31.0,31.5,31.5,31.0
Data_อาคารบรมราชกุมารี,2024-03-05,30.5,27.5,25.0,25.5,25.0,28.5,29.0,30.0,29.5,30.5,30.0,30.0,29.5,29.0,29.0,29.0,30.0,25.5,24.0,24.0,25.0,27.0,30.5,31.5,43.0,56.0,65.0,89.5,111.0,132.0,190.0,289.0,294.5,299.5,317.5,324.0,354.0,352.5,346.0,323.5,312.0,317.0,313.5,300.5,308.5,311.0,285.5,285.5,272.0,319.0,371.5,376.0,386.0,374.0,368.0,358.5,334.0,302.5,305.5,298.5,295.0,294.5,275.5,251.5,225.5,195.5,158.0,122.5,96.0,88.5,79.0,73.0,61.0,60.0,55.5,53.0,48.5,45.0,47.5,44.0,41.0,36.5,31.0,31.5,31.0,32.0,34.5,34.5,33.0,32.0,30.5,31.0,30.5,31.5,30.0,30.0
Data_อาคารบรมราชกุมารี,2024-03-06,30.5,26.0,24.0,26.0,26.0,27.5,29.5,29.5,29.5,30.5,30.5,28.5,28.5,28.5,28.5,29.5,29.0,24.5,23.5,24.0,25.0,28.0,30.5,31.0,33.5,48.0,51.0,65.0,74.0,96.0,122.5,152.0,226.0,240.0,297.0,311.0,294.5,315.0,321.0,323.0,304.5,307.5,321.5,348.0,361.5,358.0,356.5,341.0,325.0,326.5,356.5,337.0,337.0,326.0,310.0,299.5,296.5,281.5,282.0,255.0,229.5,222.0,211.5,197.0,159.5,150.5,133.5,122.0,97.0,86.0,85.5,76.0,67.0,67.0,72.5,64.0,59.5,54.0,48.0,47.5,47.5,41.0,35.5,31.5,29.5,32.0,35.0,33.0,34.0,34.0,33.5,33.5,33.0,33.5,33.0,32.5
Data_อาคารบรมราชกุมารี,2024-03-07,31.5,27.5,26.5,25.5,26.0,28.5,30.0,29.5,31.0,31.5,30.5,30.0,30.0,29.5,29.0,30.0,30.0,26.0,24.5,25.5,25.5,28.5,29.5,31.0,34.0,46.0,56.5,68.0,78.5,89.5,96.0,111.5,193.0,204.5,207.0,247.5,260.5,276.5,303.5,301.0,310.5,297.5,318.5,398.5,424.5,415.5,393.5,425.0,405.5,421.0,361.5,370.0,374.0,355.5,341.0,326.5,306.5,304.0,312.5,302.5,286.5,278.5,278.0,274.5,221.0,157.0,124.5,120.5,98.0,84.0,75.5,60.0,59.5,57.0,54.5,50.5,60.0,56.0,40.5,42.5,40.5,36.5,33.5,32.5,30.0,32.5,34.5,31.0,31.5,32.5,32.5,31.5,30.5,30.5,30.5,30.5
Data_อาคารบรมราชกุมารี,2024-03-08,29.5,26.5,24.5,24.5,24.5,27.5,28.5,30.5,30.0,30.0,30.0,28.5,28.0,28.5,28.5,29.0,28.5,25.5,24.5,24.5,24.0,28.0,30.5,30.0,36.5,45.5,50.0,64.5,75.0,108.5,123.0,149.5,243.0,299.0,301.5,320.0,351.5,355.0,362.0,363.0,389.0,378.0,365.0,367.5,352.0,348.0,341.5,328.5,330.5,327.0,313.5,316.5,295.0,275.0,258.5,214.5,208.5,218.5,220.0,212.5,198.5,182.5,179.0,166.0,144.0,136.0,135.5,115.0,101.5,86.0,76.0,64.5,58.0,51.0,46.5,44.0,41.5,42.0,38.5,36.0,34.0,31.5,28.5,26.5,27.0,30.5,31.5,29.5,30.5,32.0,31.0,30.5,30.5,30.0,28.0,28.5
Data_อาคารบรมราชกุมารี,2024-03-09,28.5,25.5,23.5,24.0,24.0,26.5,28.5,28.5,30.0,31.0,30.0,29.0,28.5,28.5,28.5,30.0,29.5,25.5,24.0,24.0,24.0,28.0,29.0,29.5,29.0,31.5,31.0,30.0,29.0,28.0,25.5,26.0,27.5,30.0,34.5,36.5,35.0,33.5,35.0,32.5,36.0,39.5,36.0,35.0,33.5,35.5,35.0,35.5,35.0,37.0,35.0,37.0,35.5,36.5,38.5,37.5,38.5,40.5,40.0,41.0,39.5,38.0,37.5,36.5,33.0,33.5,32.0,31.0,29.0,32.0,35.0,34.0,32.5,35.0,33.5,32.5,32.0,30.5,31.5,32.0,31.0,29.5,25.0,25.0,25.5,29.5,32.0,30.0,30.5,31.0,30.0,31.0,30.0,30.0,29.0,28.5
Data_อาคารบรมราชกุมารี,2024-03-10,28.5,25.0,24.0,23.5,23.0,26.0,28.0,28.0,27.5,28.0,28.0,27.5,27.0,27.5,27.5,28.0,27.5,23.5,23.0,22.5,22.0,25.5,27.5,27.5,27.0,29.0,29.0,27.5,32.5,29.0,28.0,29.5,33.5,30.0,30.5,30.5,29.5,30.0,31.0,30.5,32.0,33.0,32.0,33.5,32.0,33.5,42.5,30.5,29.0,30.5,32.0,31.0,33.5,32.5,34.0,35.5,35.0,32.0,30.0,29.0,28.5,29.0,29.5,28.0,27.5,29.0,29.0,28.5,28.0,30.5,34.5,33.0,33.5,36.0,35.5,35.5,33.5,35.0,34.0,35.0,35.5,29.5,30.5,28.0,28.0,31.5,34.0,31.0,31.5,32.5,33.0,32.5,30.5,28.5,28.5,29.0
